General,,,,,,,,,,,,,,,Engine,,,,,,Pump,,,,,Boiler,,,Rail,,,,Accessory
Project No,AKA,Date,Title,Notes,Original Link,Video,Sheets,Comments,Issues,Keywords,Lubrication,Height,Length,Width,Type,Orientation,Pistons,Reverser,Bore,Stroke,Type,Drive,Cylinders,Bore,Stroke,Fuel,Orrientation,Volume ml,Type,Style,Fuel,Gauge,Type
09E-27-00,,Aug 2018,A SIMPLE 1 CYLINDER SIMPSON&SHIPTON TYPE STEAM ENGINE.,"THIS DESIGN IS BASED ON A SET OF DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS AND ARTICLE WERE PUBLISHED IN A UNSPECIFIED MAGAZINE (PAGES 6 TO 10) UNDER THE TITLE ""UNUSUAL STEAM ENGINE"" BY ROBERT S HEDIN.",https://www.modelesavapeur.com/telechargemennts/s-s-se-jdwaal.pdf,,3,,,,Oil points,261.0,204.0,261.0,Simpson & Shipton,Vertical,1,No,,,,,,,,,,,,,,,
09E-26-00,,Jul 2018,A 2x1 CYLINDER STEAM ENGINE FOR A STERN-WHEEL PADDLE STEAMER,"THE ORIGINAL DRAWINGS AND ARTICLE WERE GIVEN TO ME. THE ORIGINAL ARTICLE AND DRAWINGS WERE FIRST PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF AUGUST 1965 UNDER THE TITLE ""ENGINES FOR A STERN-WHEELER"" BY E.T.WESTBURY",https://www.modelesavapeur.com/telechargemennts/stern-engine-westbury.pdf,,5,,,Paddle Steamer,Oil cups,213.0,506.0,429.0,Valve gear,Horizontal,2,Yes,32,64,,,,,,,,,,,,,
09-34-00,,May 2019,MODEL OF A REVOLVING CYLINDER STEAM ENGINE AS PATENTED BY T. ROGERS (1858),THIS DESIGN IS BASED ON DRAWINGS FOUND ON THE INTERNET,https://www.modelesavapeur.com/telechargemennts/t-rogers-1858-revolving-cylinder.pdf,,3,,,,Oil points,222.0,200.0,175.0,Oscillating,Revolving,1,Flip inlet,26,26,,,,,,,,,,,,,
01-32-00,,Aug 2018,A STEAM DRIVEN BOILER FEED PUMP. (1 CYL. VERT. STM ENG. 1 PISTON PUMP),"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS AND ARTICLE WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF 16 JUNE 1978 UNDER THE TITLE ""MORE UTILITY STEAM ENGINES"" BY J..BERTNAT",https://www.modelesavapeur.com/telechargemennts/trojan-jdwaal.pdf,,4,I still list it as an engine because it has a PTO,Overlapping drawings on sheet 3,,Oil cups,260.0,220.0,208.0,Valve gear,Vertical,1,No,32,32,Piston,Mechanical,1,11,12,,,,,,,,
9D-15-00,,Oct 2017,EXPERIMENTAL 2 CYLINDER HORIZONTAL VALVELESS STEAM ENGINE,THIS ENGINE IS LOOSLY BASED ON SOME SKTECHES WHICH I FOUND IN AN OLD ENGINEERING MAGAZINE,https://www.modelesavapeur.com/telechargemennts/valveless-complet.pdf,https://vimeo.com/360241612?fl=pl&fe=sh,3,,,,Oil points,137.0,393.0,198.0,Valveless,Horizontal,2,No,30,30,,,,,,,,,,,,,
09C-35-00.1,,Jan 2019,A MODEL OF A SIMPLE 1 AND 2 CYLINDER VERTICAL STEAM ENGINE WITH SLIDE VALVE,"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL ENGINE WAS DESIGNED AND BUILT BY Mr. IAN MARTIN, THE DRAWINGS WERE DATED APRIL 2013 STATUS AS BUILT. THIS ENGINE PLAN IS 2 TIMES LARGER THAN THE ORIGINAL",https://www.modelesavapeur.com/telechargemennts/vertical-simple-1-2-cylindres-1-.pdf,,6,1 and 2 cylinder versions on the same document,,Slide Valve,Oil cups,327.0,152.0,144.0,Valve gear,Vertical,1,No,44,50,,,,,,,,,,,,,
09C-35-00.2,,Jan 2019,A MODEL OF A SIMPLE 1 AND 2 CYLINDER VERTICAL STEAM ENGINE WITH SLIDE VALVE,"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL ENGINE WAS DESIGNED AND BUILT BY Mr. IAN MARTIN, THE DRAWINGS WERE DATED APRIL 2013 STATUS AS BUILT. THIS ENGINE PLAN IS 2 TIMES LARGER THAN THE ORIGINAL",https://www.modelesavapeur.com/telechargemennts/vertical-simple-1-2-cylindres-1-.pdf,,6,1 and 2 cylinder versions on the same document,,Slide Valve,Oil cups,327.0,152.0,144.0,Valve gear,Vertical,2,No,44,50,,,,,,,,,,,,,
09C-28-00,WALLER,Dec 2017,1 CYLINDER VERTICAL WALLER'S TABLE ENGINE DESIGNED BY ANTHONY MOUNT,"THE ORIGINAL DRAWINGS WERE SEND TO ME. THE ORIGINAL DESIGN DRAWINGS WERE PUBLISHED IN ""ENGINEERING IN MININATURE"" MAGAZINE IN MARCH 1998 UNDER THE TITLE ""WALLER'S TABLE ENGINE DESIGNED BY ANTHONY MOUNT""",https://www.modelesavapeur.com/telechargemennts/waller-a3.pdf,,6,,Has a regulator,Govenor,Oil cups,753.0,533.0,440.0,Valve gear,Vertical,1,No,44,92,,,,,,,,,,,,,
09E-49-00,,Sep 2020,1 CYLINDER BALANCED BEAM STEAM ENGINE,THE ORIGNAL DRAWINGS WERE GIVEN TO ME. THE AUTHOR/DRAFTER AND PUBLISHING MAGAZINE ARE UNKNOWN. THE ENGINE SHOWN ON THESE DRAWINGS ARE TO THE ORIGINAL SCALE. SOME SMALL ALTERATIONS HAVE BEEN ADDED.,https://www.modelesavapeur.com/telechargemens7j/1-cylinder-balanced-beam-steam-engine-1-.pdf,,5,,,Beam,Oil points,285.4,358.0,187.0,Valve gear,Vertical,1,No,25,50,,,,,,,,,,,,,
09B-29-00,,Sep 2020,"1 CYLINDER HORIZONTAL MILL ENGINE NON REVERSING CALLED ""SALLY""","THE ORIGINAL DRWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF 1992, ARTICLES WRITTEN BY TUBAL CAIN. ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES LARGER THEN ORIGINAL",https://www.modelesavapeur.com/telechargemens7j/1-cylinder-horizontal-mill-steam-engine-non-reversible-called-sally.pdf,,4,,,,Oil points,102.5,116.5,308.5,Valve gear,Horizontal,1,No,24,48,,,,,,,,,,,,,
09B-43-00,,Aug 2024,"1 CYLINDER HORIZONTAL, NON REVERSABLE, STEAM ENGINE","THE ORIGINAL DRAWING WAS GIVEN TO ME. NO TITLE, AUTHOR(S) OR DATE WAS PRINTED ON THE ORIGNAL DRAWING. THE ONLY INFORMATION: ""TINY POWER 10-SERIES STEAM ENGINES"". THE ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES LARGER THAN THE ORIGINAL",https://www.modelesavapeur.com/telechargemens7j/1-cylinder-horizontal-non-reversable-steam-engine..pdf,,3,,,,Oil cups,119.5,255.0,132.5,Valve gear,Horizontal,1,No,30,34,,,,,,,,,,,,,
09B-27-00,,Sep 2020,1 CYLINDER HORIZONAL STEAM ENGINE NON REVERSING,THIS DESIGN IS LOOSELY BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS REFERENCE IS STUART 10H. NO REFERENCE DRAWINGNUMBER. THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL,https://www.modelesavapeur.com/telechargemens7j/1-cylinder-horizontal-steam-engine-non-reversible-1-.pdf,,4,,,,Oil points,136.0,248.5,130.0,Valve gear,Horizontal,1,No,30,28,,,,,,,,,,,,,
09A-30-00,,Sep 2020,1 CYL. OSCIL. STM ENG. BY JAMES HAMER WHITE HORNE-YARD HIGH HOLBURN (18??),"THE ORIGINAL DRAWING WAS PUBLISHED ON THE FOLLOWING WEBSITE: ""MODELENGINEERINGWEBSITE"" RUN BY DAVID CARPENTER. NO DIMENSION AND/OR SCALE WAS SHOWN.",https://www.modelesavapeur.com/telechargemens7j/1-cylinder-steam-engine-by-james-hamer.pdf,,4,,,,Oil points,441.0,300.0,134.0,Oscillating,Vertical,1,Yes,32,80,,,,,,,,,,,,,
09C-61-00,,Aug 2024,"1 CYLINDER VERTICAL, NON REVERSABLE, STEAM ENGINE","THE ORIGINAL DRAWING WAS GIVEN TO ME. NO TITLE, AUTHOR(S) OR DATE WAS PRINTED ON THE ORIGNAL DRAWING. THE ONLY INFORMATION: ""TINY POWER 10-SERIES STEAM ENGINES"". THE ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES LARGER THAN THE ORIGINAL",https://www.modelesavapeur.com/telechargemens7j/1-cylinder-vertical-non-reversable-steam-engine.pdf,,3,,,,Oil cups,237.0,145.0,124.0,Valve gear,Vertical,1,No,30,34,,,,,,,,,,,,,
09C-63-00,,Aug 2024,"1 CYLINDER VERTICAL, NON REVERSABLE, STEAM ENGINE CALLED ""BLACK NIGHT""","THE ORIGINAL DRAWING WAS GIVEN TO ME. THE TITLE WAS ""BLACK NIGHT-STEAM ENGINE"", DWG NUMBER L-609,DRAWN BY 'EED', DATED 12/76. THE ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES LARGER THAN THE ORIGINAL DESIGN.",https://www.modelesavapeur.com/telechargemens7j/1-cylinder-vertical-non-reversable-steam-engine-called-black-night.pdf,,2,,,,None,167.0,107.0,96.0,Valve gear,Vertical,1,No,26,26,,,,,,,,,,,,,
09C-50-00,STUART 10V,Sep 2020,1 CYLINDER VERTICAL STEAM ENGINE WITH REVERSER,THIS DESIGNE IS LOOSELY BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE DESIGNER OR PUBLISHING MAGAZINE OF THE ORIGINAL DRAWINGS IS UNKNOWN. THE ONLY REFERENCE IS A DRAWINGNUMBER: DRG. 70207. THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL,https://www.modelesavapeur.com/telechargemens7j/1-cylinder-vertical-steam-engine-with-reverser.pdf,,4,,,,Oil points,224.5,143.5,114.0,Valve gear,Vertical,1,Yes,30,28,,,,,,,,,,,,,
09B-28-00,,Sep 2020,2 CYLINDER HORIZONAL STEAM ENGINE NON REVERSING,THIS DESIGN IS LOOSELY BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS REFERENCE IS STUART 10H DOUBLE. REFERENCE DRAWINGNUMBER: DRG 70224. THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL,https://www.modelesavapeur.com/telechargemens7j/2-cylinder-horizontal-steam-engine-non-reversing-1-.pdf,,4,,,,Oil points,135.5,248.5,202.0,Valve gear,Horizontal,2,No,30,28,,,,,,,,,,,,,
09C-62-00,,Aug 2024,"2 CYLINDER VERTICAL, NON REVERSABLE, STEAM ENGINE","THE ORIGINAL DRAWING WAS GIVEN TO ME. NO TITLE, AUTHOR(S) OR DATE WAS PRINTED ON THE ORIGNAL DRAWING. THE ONLY INFORMATION: ""TINY POWER 10-SERIES STEAM ENGINES"". THE ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES LARGER THAN THE ORIGINAL",https://www.modelesavapeur.com/telechargemens7j/2-cylinder-vertical-non-reversable-steam-engine.pdf,,3,,,,Oil cups,235.4,235.0,124.0,Valve gear,Vertical,2,No,30,34,,,,,,,,,,,,,
09C-51-00,,Sep 2020,2 CYLINDER VERTICAL STEAM ENGINE NON REVERSING,THIS DESIGNE IS LOOSELY BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS REFERENCE IS STUART 10V DOUBLE DRAWINGNUMBER: DRG. 80015 AND 60927/A. THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL,https://www.modelesavapeur.com/telechargemens7j/2-cylinder-vertical-steam-engine-non-reversing.pdf,,4,,,,Oil points,202.5,205.0,116.1,Valve gear,Vertical,2,No,30,28,,,,,,,,,,,,,
09B-41-00,,Jul 2024,"A 1 CYLINDER HORIZONTAL STEAM ENGINE MODEL OF ""CRETORS POPCORN"" ENGINE","THE ORIGINAL DRAWINGS WERE GIVEN TO ME: DWG No M76-6004-C DATED 14-9-76, TITLE: ""CRETORS POPCORN STEAM ENGINE - MODEL ECX"" AND DWG No M76-6003-C DATED 25-5-76, TITTLE ""FLY-BALL GOVERNOR MODEL ECX"" BOTH BY R. BROMPS. (CONV. FROM IMPERIAL TO METRIC)",https://www.modelesavapeur.com/telechargemens7j/a-1-cylinder-horizontal-steam-engine-model-of-cretors-popcorn-engine.pdf,,4,,,Govenor,Oil cups,273.8,560.0,240.0,Valve gear,Horizontal,1,No,38,72,,,,,,,,,,,,,
09C-58-01,,Jun 2023,"A HIGH SPEED UNIFLOW STEAM ENGINE WITH A PISTON TYPE VALVE CALLED ""SPARTAN""","THE ORIGINAL DRAWING WAS GIVEN TO ME. THE TITLE OF THE ORIGINAL DRAWING WAS: ""THE ""SPARTAN"" HIGH-SPEED UNIFLOW STEAM ENGINE"" (WITH ALTERNATIVE POPPET-VALVE OR PISTON-VALVE GEAR) BY EDGAR T. WESTBURY. NO DATE OR DRAFTER STATED. THE ENGINE SHOWN ON THESE DRAWINS IS 1.5x THE ORIGINAL SIZE ALSO CONVERTED FROM IMPERIAL TO METRIC.",https://www.modelesavapeur.com/telechargemens7j/a-high-speed-uniflow-steam-engine-with-a-piston-type-valve-called-spartan.pdf,,3,The poppet valve version is 09C58-00. Has a regulator,,,Oil points,165.8,165.5,95.0,Valve gear,Vertical,1,No,29,30,,,,,,,,,,,,,
09C-58-00,,Jun 2023,"A HIGH SPEED UNIFLOW STEAM ENGINE WITH POPPET VALVE CALLED ""SPARTAN""","THE ORIGINAL DRAWING WAS GIVEN TO ME. THE TITLE OF THE ORIGINAL DRAWING WAS: ""THE ""SPARTAN"" HIGH-SPEED UNIFLOW STEAM ENGINE"" (WITH ALTERNATIVE POPPET-VALVE OR PISTON-VALVE GEAR) BY EDGAR T. WESTBURY. NO DATE OR DRAFTER STATED. THE ENGINE SHOWN ON THESE DRAWINS IS 1.5x THE ORIGINAL SIZE ALSO CONVERTED FROM IMPERIAL TO METRIC.",https://www.modelesavapeur.com/telechargemens7j/a-high-speed-uniflow-steam-engine-with-poppet-valve-called-spartan.pdf,,3,The piston valve version is 09C58-01. Has a regulator,,,Oil points,165.8,165.5,95.0,Poppet valve,Vertical,1,No,29,30,,,,,,,,,,,,,
09E-51-00,,Nov 2020,"A MODEL OF A STEAM ENGINE TO THE ""DAKE"" DESIGN.","THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS WERE BY STEWART HART. FROM ""POTTY ENGINEERING"". THE DRAWINGS WERE DATED JULY 2012. DRAWING TITLE WAS ""POTTY DAKE ENGINE"".",https://www.modelesavapeur.com/telechargemens7j/a-model-of-a-steam-engine-to-the-dake-design.pdf,,3,,"Length wasn't listed, so I mesured pixels",,None,238.0,151.7,138.0,Dake,,1,Yes,,,,,,,,,,,,,,,
09C-59-00,,Jul 2024,"A MODEL OF A VERTICAL STEAM ENGINE (REVERSABLE) CALLED ""MONARCH""","THE ORIGINAL DRAWING WAS GIVEN TO ME. THE TITLE WAS ""MONARCH"". THE ORIGINAL DESIGN WAS MY Mr BELLAMY IN 1947, RVISED BY D.C.PIDDINGTON IN 1979. THE ENGINE SHOWN ON THESE DRAWINS IS 1.5 TIMES LARGER AND CONVERTED FROM IMPERIAL TO METRIC",https://www.modelesavapeur.com/telechargemens7j/a-model-of-a-vertical-steam-engine-reversable-called-monarch.pdf,,3,,,,Oil points,226.0,137.0,137.6,Valve gear,Vertical,1,Yes,30,32,,,,,,,,,,,,,
09E-47-00,,Aug 2020,A SIMPLE 1 CYLINDER BALANCED BEAM STEAM ENGINE,THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DESIGNDRAWINGS WERE BY PATRICK J. VERNER AND DATED BETWEEN 28/05/200 AND 29-7-2000. MY DESIGN IS 1.5 TIMES LARGER THAN THE ORIGINAL. SOME CORRECTIONS/ALTERATIONS ARE INCORPORATED.,https://www.modelesavapeur.com/telechargemens7j/a-simple-1-cylinder-balanced-beam-steam-engine.pdf,,5,,,Beam,Oil points,217.4,381.5,143.0,Valve gear,Vertical,1,No,28,40,,,,,,,,,,,,,
09B-42-00,,Jul 2024,A SIMPLE HORIZONTAL NON REVERSABLE STEAM ENGINE,"THE ORIGINAL DRAWING WAS GIVEN TO ME. THE TITLE OF THE ORIGINAL IS: ""PERSEUS HORIZONTAL STATIONARY ENGINE 3/4"" BORE 1"" STROKE"" BY EDGAR T. WESBURY. (M.20), NO DATE STATED. (CONVERTED FROM IMPERIAL TO METRIC UNITS)",https://www.modelesavapeur.com/telechargemens7j/a-simple-horizontal-non-reversable-steam-engine.pdf,,3,,,,Oil points,87.5,199.0,105.5,Valve gear,Vertical,1,No,19,25,,,,,,,,,,,,,
09A-36-00,,Jul 2024,"A ""V""-SHAPE OSCILLATING STEAM ENGINE, REVERSABLE","THE ORIGINAL DRAWINGS WERE GIVEN TO ME. TITLE ON THE ORIGINAL DRAWING WAS: ""2 CYLINDER, 90 V, OSCILLATING ENGINE"". DR No 2CO, DATED 1-5-65. THE ENGINE SHOWN ON THESE DRAWINGS IS TWICE THE ORIGINAL AND CONVERTED FROM IMPERIAL TO METRIC.",https://www.modelesavapeur.com/telechargemens7j/a-v-shape-oscillating-steam-engine-reversa.pdf,,2,,,,None,117.3,156.4,120.5,Oscillating,V,2,Flip inlet,22,22,,,,,,,,,,,,,
09D-22-00,,Jan 2021,EXPERIMENTAL 2 CYL. HORIZ. STEAM ENGINE USING THE SLIDE VALVES AS REVERSER,DESIGNED BY J.A.M. DE WAAL,https://www.modelesavapeur.com/telechargemens7j/exp-rimental-2-cylnder-horizontal-steam-engine-using-the-slide-valve-as-reverser.pdf,,4,,,,Oil points,93.5,275.0,190.0,Valve gear,Horizontal,2,Yes,30,42,,,,,,,,,,,,,
10-01-00,EVG-P01X2,Jan 2016,WOOD BEAM STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 01.THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS TWO TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-01.pdf,,5,,,Beam,Oil points,448.3,537.0,258.0,Valve gear,Vertical,1,No,38,66,,,,,,,,,,,,,
10-02-00,EVG-P02,Jan 2016,2 CYLINDER VERTICAL OSCILLATING STEAM ENGINE (WOBBLER),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 02. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-02.pdf,,1,,,,Oil points,164.0,134.0,76.0,Oscillating,Vertical,2,Flip inlet,13,25,,,,,,,,,,,,,
10-03-00,EVG-P03,Jan 2016,1 CYLINDER VERTICAL OPEN COLUMN STEAM ENGINE WITH REVERSER,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 03. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-03.pdf,,2,,"Doesn't list overall dimensions, length is slightly under reality",,Oil points,157.0,150.0,170.0,Rotary valve,Vertical,1,Yes,19,25,,,,,,,,,,,,,
10-04-00,EVG-P04,Jan 2016,"4 CYLINDER STEAM ENGINE CALLLED ""FOUR SQUARE""",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 04. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-04.pdf,,1,Maybe reversible with some good pipe work,,,None,144.0,140.0,110.0,Oscillating,Radial,4,No,12,16,,,,,,,,,,,,,
10-05-00,EVG-P05,Jan 2016,1 CYLINDER HORIZONTAL GEARED STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 05. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-05.pdf,,3,,,,Oil points,160.0,267.4,131.0,Valve gear,Horizontal,1,No,25,38,,,,,,,,,,,,,
10-06-00,EVG-P06,Jan 2016,1 CYLINDER HORIZONTAL SIMPLE SLIDER STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 06. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-06.pdf,,2,,,,Oil points,66.0,148.5,86.0,Valve gear,Horizontal,1,No,19,16,,,,,,,,,,,,,
10-07-00,EVG-P07,Jan 2016,1 CYLINDER HORIZONTAL STEAM ENGINE WITH A SQUARE CYLINDER,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 07. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-07.pdf,,1,,,,None,76.0,110.5,73.5,Rotary valve,Horizontal,1,No,22,26,,,,,,,,,,,,,
10-08-00,EVG-P08,Jan 2016,"1 CYLINDER HORIZONTAL STEAM ENGINE CALLED ""SCOTTY""",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 08. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-08.pdf,,1,,,,None,76.0,112.6,83.5,Rotary valve,Horizontal,1,No,19,26,,,,,,,,,,,,,
10-09-00,EVG-P09,Jan 2016,2 CYLINDER HORIZONTAL OSCILLATING STEAM ENGINE (H-TWIN),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 09. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-09.pdf,,1,,,,Oil points,73.0,113.5,85.0,Oscillating,Horizontal,2,Flip inlet,13,19,,,,,,,,,,,,,
10-10-00,EVG-P10,Jan 2016,1 CYLINDER WOODEN GRASSHOPPER STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 10. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-10.pdf,,4,,,Beam,Oil points,303.5,426.0,247.3,Valve gear,Vertical,1,No,38,45,,,,,,,,,,,,,
10-11-00,EVG-P11,Jan 2016,3 CYLINDER STEAM ENGINE RADIAL TYPE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 11. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-11.pdf,,2,,,,None,186.0,207.0,181.0,Rotary valve,Radial,3,No,32,25,,,,,,,,,,,,,
10-12-00,EVG-P12,Jan 2016,STEAM TURBINE AND CENTRIFUGAL PUMP,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 12. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-12.pdf,,2,,,,Oil points,94.0,193.5,95.0,Turbine,,1,No,,,Centrifugal,Belt,1,,,,,,,,,,
10-13-00,EVG-P13,Jan 2016,2 CYL. VERTICAL OPEN COLUMN STEAM ENGINE WITH POPPET VALVES,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 13. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-13.pdf,,3,,,,Oil points,282.0,261.0,180.0,Poppet valve,Vertical,2,No,45,44,,,,,,,,,,,,,
10-14-00,EVG-P14,Feb 2016,1 CYL. VERTICAL STEAM ENGINE WITH A VALVE WOBBLE PLATE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 14. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-14.pdf,,2,,,,Oil points,198.0,136.0,100.0,Wobble plate,Vertical,1,No,20,38,,,,,,,,,,,,,
10-15-00,EVG-P15,Feb 2016,"1 CYL. VERTICAL OSCILLATING STEAM ENGINE CALLED ""FANCY""",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 15. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-15.pdf,,1,,,,None,133.0,82.0,70.0,Oscillating,Vertical,1,Flip inlet,20,24,,,,,,,,,,,,,
10-16-00,EVG-P16,Feb 2016,"1 CYLINDER HORIZONTAL STEAM ENGINE CALLED ""BALDY""",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 16. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-16.pdf,,1,,,,None,76.0,110.5,73.0,Rotary valve,Horizontal,1,No,20,13,,,,,,,,,,,,,
